iter	RMSE
695	2.185210458
696	2.180247487
697	2.176915453
698	2.176078719
699	2.175994656
700	2.172996158
701	2.171833164
702	2.170818074
703	2.169407967
704	2.167185038
705	2.166599868
706	2.163271445
707	2.16189418
708	2.159089029
709	2.154334385
710	2.151941858
711	2.147354249
712	2.144379766
713	2.143005188
714	2.141354639
715	2.139922817
716	2.138592766
717	2.138207856
718	2.134965717
719	2.132326717
720	2.130882467
721	2.130719687
722	2.129764342
723	2.126766339
724	2.125620796
725	2.125568747
726	2.123647727
727	2.122956313
728	2.121518047
729	2.121122193
730	2.117684329
731	2.116195948
732	2.112603625
733	2.111259808
734	2.11051066
735	2.108688736
736	2.108663543
737	2.103385549
738	2.103158523
739	2.103066871
740	2.102317364
741	2.101130366
742	2.096694785
743	2.096009775
744	2.095976835
745	2.092148487
746	2.089484191
747	2.08690798
748	2.086484125
749	2.085451613
750	2.081746058
751	2.077321166
752	2.074623147
753	2.070168332
754	2.065247574
755	2.06486045
756	2.063804097
757	2.061013043
758	2.06046294
759	2.056272981
760	2.056244034
761	2.055442309
762	2.052923451
763	2.049654058
764	2.044199864
765	2.041789711
766	2.039202311
767	2.035945325
768	2.034793665
769	2.034269398
770	2.033539147
771	2.032362214
772	2.030800818
773	2.026285122
774	2.023524657
775	2.021216924
776	2.020313241
777	2.018085269
778	2.016286219
779	2.012178639
780	2.007258765
781	2.003000878
782	2.002945292
783	1.999183443
784	1.996664285
785	1.994182619
786	1.993578707
787	1.991653743
788	1.99161732
789	1.991005083
790	1.988987732
791	1.98755372
792	1.986235551
793	1.985202804
794	1.981283227
795	1.978879597
796	1.978335355
797	1.974931472
798	1.974033219
799	1.973067427
800	1.970859088
801	1.969177712
802	1.968561741
803	1.967065011
804	1.966181179
805	1.963412449
806	1.958758102
807	1.958510548
808	1.958482303
809	1.957501147
810	1.955100463
811	1.951685012
812	1.948027451
813	1.946082767
814	1.945169281
815	1.941961867
816	1.939821372
817	1.938361928
818	1.935678326
819	1.935071375
820	1.93331849
821	1.932648688
822	1.932128742
823	1.930183941
824	1.926707252
825	1.923802643
826	1.922817739
827	1.922514744
828	1.92246757
829	1.920098762
830	1.919570608
831	1.917323972
832	1.91668251
833	1.91591234
834	1.91342817
835	1.911630438
836	1.910137251
837	1.908534772
838	1.905475105
839	1.904175097
840	1.900275519
841	1.897854237
842	1.89374138
843	1.892308967
844	1.891136745
845	1.888786653
846	1.888341875
847	1.884137713
848	1.883716909
849	1.878984461
850	1.877508578
851	1.874662362
852	1.873219958
853	1.87294331
854	1.872215837
855	1.868454351
856	1.867388661
857	1.865463095
858	1.864621044
859	1.862218907
860	1.858757418
861	1.856106567
862	1.854984727
863	1.853500946
864	1.853145798
865	1.849083454
866	1.847763721
867	1.846336216
868	1.845885609
869	1.844542019
870	1.843865581
871	1.841602411
872	1.839347799
873	1.836238071
874	1.834624334
875	1.832310904
876	1.829001485
877	1.825735881
878	1.82404486
879	1.822866936
880	1.818837318
881	1.818094884
882	1.817420121
883	1.815504722
884	1.813256241
885	1.809326677
886	1.805440152
887	1.804909184
888	1.801931054
889	1.800192694
890	1.799340383
891	1.797232471
892	1.795995253
893	1.795187568
894	1.794754817
895	1.794289289
896	1.791684713
897	1.788993877
898	1.788246635
899	1.784923118
900	1.782502754
901	1.781962205
902	1.778536668
903	1.777201673
904	1.776006415
905	1.77459201
906	1.77323909
907	1.772730943
908	1.771136369
909	1.771102298
910	1.770977198
911	1.767221616
912	1.767096048
913	1.765805986
914	1.765748835
915	1.763026647
916	1.761389193
917	1.757502996
918	1.7547498
919	1.752730913
920	1.751481455
921	1.750725208
922	1.749698343
923	1.749168104
924	1.748001423
925	1.747826843
926	1.746465135
927	1.743190883
928	1.742365642
929	1.738391518
930	1.73773398
931	1.736853234
932	1.736125428
933	1.734964682
934	1.733248142
935	1.732830256
936	1.732665607
937	1.731290333
938	1.730757062
939	1.729976394
940	1.727331484
941	1.726035259
942	1.723292254
943	1.722069022
944	1.721414525
945	1.719097806
946	1.718458465
947	1.716850525
948	1.715582482
949	1.714314479
950	1.711009455
951	1.709813751
952	1.708857394
953	1.708602998
954	1.708447105
955	1.708054626
956	1.706233214
957	1.705108045
958	1.70252318
959	1.700904557
960	1.700323016
961	1.697342396
962	1.696143638
963	1.694343361
964	1.694068748
965	1.691866447
966	1.691675576
967	1.690671818
968	1.688832719
969	1.686521045
970	1.686469034
971	1.685198703
972	1.680337851
973	1.678804258
974	1.678271441
975	1.67721183
976	1.674126978
977	1.673757844
978	1.672836103
979	1.672058093
980	1.671186408
981	1.667357926
982	1.667245667
983	1.66678872
984	1.666240281
985	1.665460683
986	1.665056202
987	1.663900012
988	1.661476835
989	1.661393842
990	1.66107282
991	1.660540736
992	1.658169006
993	1.656342679
994	1.654401262
995	1.654147878
996	1.653013697
997	1.652211091
998	1.65077019
999	1.650066109
